ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);2000;3.648.000,00;0,00;0,00;76.146.000,00;390.875.000,00;79.365.000,00;20.360.000,00;60.390.708,96;19.519.000,00;9.015.690,00;87.958.000,00;18.201.000,00;8.935.000,00;102.061.000,00;590.000,00;176.757.000,00;5.362.000,00;97.977.000,00;22.336.272,49;8.818.000,00;13.486.000,00;9.427.618,68;37.855.372,44;7.223.000,00;40.763.018,00;98.390.761,18;157.388.420,00;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;2000;737.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.564.000,00;4.444.710,00;0,00;0,00;6.050.000,00;925.000,00;0,00;0,00;0,00;0,00;40.942.000,00;0,00;671.000,00;0,00;2.896.052,34;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;2000;452.000,00;109.272.790,91;44.375.000,00;0,00;26.383.000,00;0,00;1.683.572,96;20.233.769,64;0,00;63.927.810,00;8.193.000,00;21.110.500,00;11.222.000,00;0,00;0,00;0,00;55.250.000,00;0,00;30.459.000,00;0,00;18.457.000,00;0,00;89.880.825,99;0,00;0,00;42.254.929,99;43.023.220,00;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;2000;0,00;61.000.000,00;0,00;0,00;225.229.000,00;166.272.000,00;273.388.000,00;331.222.723,21;0,00;0,00;13.506.000,00;0,00;0,00;31.086.000,00;0,00;0,00;69.414.000,00;0,00;515.746.000,00;0,00;0,00;0,00;107.262.999,15;11.087.000,00;15.216.910,00;10.060.466,91;0,00;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;2000;0,00;0,00;0,00;0,00;232.389.000,00;177.294.000,00;0,00;0,00;0,00;19.749.090,00;0,00;0,00;0,00;12.212.000,00;25.042.000,00;40.335.000,00;10.821.000,00;0,00;0,00;41.820.000,00;0,00;0,00;0,00;0,00;55.895.712,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;2000;0,00;13.133.000,00;0,00;0,00;128.243.000,00;197.151.000,00;417.000,00;21.201.295,34;0,00;0,00;79.657.354,94;224.429.974,34;18.821.000,00;20.489.000,00;63.977.000,00;137.530.000,00;0,00;119.951.000,00;633.108.054,48;48.003.000,00;83.480.000,00;10.234.000,00;5.527.909,87;0,00;49.055.860,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;2000;0,00;106.144.000,00;0,00;0,00;8.688.000,00;6.950.000,00;0,00;174.131.147,90;0,00;6.421.810,00;1.014.744.000,00;0,00;61.802.000,00;0,00;133.000,00;0,00;0,00;658.491.000,00;559.372.000,00;125.289.630,00;0,00;0,00;572.359.262,48;558.309.000,00;0,00;27.612,97;0,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;2000;0,00;106.144.000,00;0,00;0,00;7.485.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57.302.000,00;0,00;0,00;0,00;0,00;0,00;510.638.000,00;125.289.630,00;0,00;0,00;2.699.567,41;0,00;0,00;27.612,97;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;2000;0,00;0,00;0,00;0,00;0,00;1.107.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;2000;0,00;0,00;0,00;0,00;1.203.000,00;5.843.000,00;0,00;174.131.147,90;0,00;6.421.810,00;1.014.744.000,00;0,00;4.500.000,00;0,00;133.000,00;0,00;0,00;658.491.000,00;48.734.000,00;0,00;0,00;0,00;569.659.695,07;558.309.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;2000;0,00;899.911.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49.087.079,73;620.920.000,00;0,00;403.334.967,51;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;2000;0,00;899.911.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49.087.079,73;620.920.000,00;0,00;403.334.967,51;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;2000;0,00;29.723.000,00;299.615,00;698.000,00;1.027.936.000,00;947.189.000,00;151.993.000,00;256.914.132,12;76.918.000,00;209.647.150,00;883.951.000,00;50.411.000,00;185.120.000,00;240.049.000,00;39.823.022,10;240.943.000,00;111.801.000,00;1.455.430.000,00;1.264.795.000,00;35.429.000,00;0,00;30.113.160,00;738.775.178,52;368.923.000,00;89.368.651,00;1.111.285.785,13;261.954.000,00;;;;;;;;;;;;;;
1.2.1 - Contratual;2000;0,00;29.723.000,00;299.615,00;698.000,00;1.027.936.000,00;947.189.000,00;151.993.000,00;256.914.132,12;76.918.000,00;209.647.150,00;883.951.000,00;50.411.000,00;185.120.000,00;240.049.000,00;39.823.022,10;240.943.000,00;111.801.000,00;1.455.430.000,00;1.261.813.000,00;35.429.000,00;0,00;30.113.160,00;738.775.178,52;368.923.000,00;89.368.651,00;1.111.285.785,13;261.954.000,00;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27.218.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.647.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;2000;0,00;0,00;299.615,00;0,00;98.346.000,00;132.123.000,00;151.993.000,00;9.220.758,21;49.700.000,00;0,00;333.063.000,00;0,00;0,00;16.265.000,00;204.880,67;0,00;0,00;249.591.000,00;0,00;0,00;0,00;0,00;66.600.338,95;90.520.000,00;0,00;108.656.169,68;141.618.000,00;;;;;;;;;;;;;;
1.2.1.3 - Com aval do TN após 30/09/91;2000;0,00;29.723.000,00;0,00;698.000,00;929.590.000,00;815.066.000,00;0,00;247.693.373,91;0,00;209.647.150,00;550.888.000,00;50.411.000,00;185.120.000,00;223.784.000,00;39.618.141,43;240.943.000,00;111.801.000,00;1.205.839.000,00;1.261.813.000,00;35.429.000,00;0,00;30.113.160,00;672.174.839,57;273.756.000,00;89.368.651,00;1.002.629.615,45;120.336.000,00;;;;;;;;;;;;;;
1.2.2 - Mobiliária Externa;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.982.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.2.1 - Principal;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.982.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2 - Flutuante;2000;0,00;0,00;0,00;0,00;0,00;0,00;25.196.000,00;15.000.000,00;0,00;0,00;3.718.832.000,00;0,00;0,00;0,00;0,00;0,00;251.926.000,00;0,00;0,00;0,00;332.267.000,00;0,00;534.816.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.1 - Empreiteiros;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.437.000,00;0,00;0,00;0,00;0,00;0,00;4.499.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.2 - Fornecedores;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15.196.000,00;0,00;0,00;0,00;64.053.000,00;0,00;83.029.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.3 - Autofinanciamentos;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.4 - Folha de Pagamentos;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;108.909.000,00;0,00;0,00;0,00;26.014.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.5 - AROs;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.6 - INSS;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;177.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.7 - FGTS;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;194.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.8 - PIS/PASEP e Inst. de Pensão;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.9 - Precatórios;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;88.497.000,00;0,00;0,00;0,00;187.610.000,00;0,00;4.122.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.10 - Outras;2000;0,00;0,00;0,00;0,00;0,00;0,00;25.196.000,00;15.000.000,00;0,00;0,00;3.718.832.000,00;0,00;0,00;0,00;0,00;0,00;37.887.000,00;0,00;0,00;0,00;54.590.000,00;0,00;442.795.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. DIRETA;2000;647.479.628,70;2.752.708.251,53;1.920.488.632,83;113.377.000,00;8.969.306.634,22;3.530.759.336,26;1.163.374.333,41;2.244.135.968,83;8.381.942.917,85;4.277.805.925,09;29.257.972.362,49;3.923.908.365,14;4.971.189.341,80;1.594.750.874,76;2.278.276.106,78;3.908.040.000,00;2.237.773.212,06;7.981.604.467,46;26.054.965.448,54;1.081.343.938,76;1.755.912.809,20;168.276.778,68;17.974.267.004,73;6.165.272.861,73;1.051.001.297,00;67.921.987.916,36;554.977.901,93;;;;;;;;;;;;;;
3 - DÍVIDA FUNDADA - Adm. Indireta;2000;67.780.000,00;321.272.728,70;0,00;0,00;158.445.000,00;0,00;0,00;416.853.894,66;46.164.000,00;0,00;448.089.048,36;0,00;35.228.000,00;241.119.000,00;50.022.000,00;577.440.000,00;213.316.017,35;510.828.339,08;95.558.629,81;0,00;45.827.000,00;0,00;0,00;0,00;0,00;1.621.971.867,00;0,00;;;;;;;;;;;;;;
3.1 -   Fundada Interna;2000;67.780.000,00;321.272.728,70;0,00;0,00;158.445.000,00;0,00;0,00;416.853.894,66;46.164.000,00;0,00;448.089.048,36;0,00;35.228.000,00;241.119.000,00;50.022.000,00;577.440.000,00;213.316.017,35;510.828.339,08;95.558.629,81;0,00;45.827.000,00;0,00;0,00;0,00;0,00;1.000.743.677,07;0,00;;;;;;;;;;;;;;
3.1.1 - Contratual;2000;67.780.000,00;321.272.728,70;0,00;0,00;158.445.000,00;0,00;0,00;416.853.894,66;46.164.000,00;0,00;448.089.048,36;0,00;35.228.000,00;241.119.000,00;50.022.000,00;577.440.000,00;213.316.017,35;510.828.339,08;95.558.629,81;0,00;45.827.000,00;0,00;0,00;0,00;0,00;1.000.743.677,07;0,00;;;;;;;;;;;;;;
3.1.1.1 - União;2000;67.780.000,00;321.272.728,70;0,00;0,00;158.445.000,00;0,00;0,00;416.853.894,66;46.164.000,00;0,00;447.479.048,36;0,00;35.228.000,00;241.119.000,00;50.022.000,00;577.440.000,00;213.316.017,35;510.828.339,08;95.558.629,81;0,00;45.827.000,00;0,00;0,00;0,00;0,00;1.000.743.677,07;0,00;;;;;;;;;;;;;;
3.1.1.1.1 - BIB;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;849.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.2 - BEA;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;656.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.3 - Clube de Paris;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.703.000,00;0,00;0,00;0,00;0,00;0,00;0,00;94.547.330,00;0,00;;;;;;;;;;;;;;
3.1.1.1.4 - DMLP;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;94.293.000,00;0,00;0,00;0,00;0,00;80.908.629,81;0,00;40.244.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.5 - Lei 7.976/89;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.904.000,00;0,00;0,00;0,00;0,00;0,00;0,00;4.078.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.6 - Parc.  FGTS até 31/03/96;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.564.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.7 - Parc.  FGTS após 31/03/96;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.245.000,00;0,00;0,00;0,00;0,00;28.631.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.961.649,45;0,00;;;;;;;;;;;;;;
3.1.1.1.8 - Parc.  INSS até 01/12/92;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;103.550,00;0,00;0,00;0,00;0,00;0,00;1.928.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.9 - Parc.  INSS após 01/12/92;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.743.760,00;46.164.000,00;0,00;0,00;0,00;0,00;344.000,00;49.448.000,00;0,00;20.220.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66.793.913,42;0,00;;;;;;;;;;;;;;
3.1.1.1.10 - Lei 8.727/93;2000;67.780.000,00;321.272.728,70;0,00;0,00;0,00;0,00;0,00;400.761.584,66;0,00;0,00;447.479.048,36;0,00;0,00;132.988.000,00;0,00;577.440.000,00;193.090.017,35;510.828.339,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.11 - Lei 9.496/97;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.12 - CEF/VOTO 162;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.13 - CEF (outras);2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;381.000,00;0,00;0,00;0,00;3.659.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.14 - Parcelamento - PIS/PASEP;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.597.000,00;0,00;193.000,00;0,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.15 - B.Brasil;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.355.031,80;0,00;;;;;;;;;;;;;;
3.1.1.1.16 - BNDES;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;818.085.752,40;0,00;;;;;;;;;;;;;;
3.1.1.1.17 - Outros Bancos Federais;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.18 - Demais Dívidas com a União;2000;0,00;0,00;0,00;0,00;158.445.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;98.000,00;0,00;0,00;5.000,00;0,00;5.288.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2 - Outras Dívidas Contratuais;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;610.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.1 - Bancos Estaduais;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.2 - Bancos Privados;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.3 - Demais;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;610.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.2 - Mobiliária Interna;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2 - Fundada Externa;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;621.228.189,93;0,00;;;;;;;;;;;;;;
3.2.1 - Contratual;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;621.228.189,93;0,00;;;;;;;;;;;;;;
3.2.1.1 - Sem aval do Tesouro Nacional;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2.1.2 - Com aval do TN até 30/09/91;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.003.183,79;0,00;;;;;;;;;;;;;;
3.2.1.3 - Com aval do TN após 30/09/91;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;612.225.006,14;0,00;;;;;;;;;;;;;;
3.2.2 - Mobiliária Externa;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4 - Flutuante;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70.498.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.1 - Empreiteiros;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.657.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.2 - Fornecedores;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21.818.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.3 - Autofinanciamentos;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.4 - Folha de Pagamentos;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.079.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.5 - AROs;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.6 - INSS;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.603.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.7 - FGTS;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.237.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.8 - PIS/PASEP e Inst. de Pensão;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;146.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.9 - Precatórios;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.237.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.10 - Outras;2000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27.721.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. INDIRETA;2000;67.780.000,00;321.272.728,70;0,00;0,00;158.445.000,00;0,00;0,00;416.853.894,66;46.164.000,00;0,00;448.089.048,36;0,00;35.228.000,00;241.119.000,00;50.022.000,00;577.440.000,00;213.316.017,35;510.828.339,08;95.558.629,81;0,00;116.325.000,00;0,00;0,00;0,00;0,00;1.621.971.867,00;0,00;;;;;;;;;;;;;;
Dívida Financeira;2000;715.259.628,70;3.073.980.980,23;1.920.488.632,83;113.377.000,00;9.127.751.634,22;3.530.759.336,26;1.138.178.333,41;2.645.989.863,49;8.428.106.917,85;4.277.805.925,09;25.987.229.410,85;3.923.908.365,14;5.006.417.341,80;1.835.869.874,76;2.328.298.106,78;4.485.480.000,00;2.199.163.229,41;8.492.432.806,54;26.150.524.078,35;1.081.343.938,76;1.469.472.809,20;168.276.778,68;17.439.451.004,73;6.165.272.861,73;1.051.001.297,00;69.543.959.783,36;554.977.901,93;;;;;;;;;;;;;;
RLR;2000;612.310.432,06;1.021.249.482,62;1.706.596.363,63;567.285.210,18;4.116.271.444,43;2.597.992.734,51;5.064.307.127,56;2.219.675.933,46;2.155.553.117,11;1.559.431.640,80;7.700.695.692,88;997.575.222,05;1.555.306.877,33;2.221.544.042,07;1.372.070.963,08;2.892.937.846,84;959.646.289,17;4.639.293.144,77;7.788.410.518,21;1.507.503.973,66;821.388.341,12;451.319.931,30;5.542.419.346,83;2.506.080.881,06;1.141.721.484,70;26.799.111.387,42;935.077.100,73;;;;;;;;;;;;;;
RLR corrigida;2000;640.349.208,44;1.066.110.776,03;1.786.860.407,43;593.493.587,45;4.305.573.077,44;2.718.151.287,07;5.300.284.832,70;2.314.822.373,84;2.255.284.548,02;1.632.770.899,94;8.049.309.214,64;1.044.045.809,53;1.625.890.537,83;2.319.836.475,04;1.431.872.511,44;3.031.236.983,24;1.003.890.062,70;4.854.338.669,23;8.145.500.778,72;1.578.350.953,90;857.244.128,25;471.891.707,90;5.795.101.358,43;2.622.630.262,04;1.194.974.420,52;28.041.345.941,19;975.590.931,79;;;;;;;;;;;;;;
Dívida Financeira/RLR;2000;1,17;3,01;1,13;0,20;2,22;1,36;0,22;1,19;3,91;2,74;3,37;3,93;3,22;0,83;1,70;1,55;2,29;1,83;3,36;0,72;1,79;0,37;3,15;2,46;0,92;2,60;0,59;;;;;;;;;;;;;;
Dívida Financeira/RLR corrigida;2000;1,12;2,88;1,07;0,19;2,12;1,30;0,21;1,14;3,74;2,62;3,23;3,76;3,08;0,79;1,63;1,48;2,19;1,75;3,21;0,69;1,71;0,36;3,01;2,35;0,88;2,48;0,57;;;;;;;;;;;;;;
